Country,Injuries,Writhing Time (in seconds)
Brazil,17,198
Chile,16,418
Honduras,15,460
Nigeria,15,385
Mexico,15,238
Costa Rica,13,228
USA,12,384
Ecuador,12,273
France,10,439
South Korea,10,271
Algeria,10,243
Iran,9,326
Russia,9,316
Cote d'Ivoire,9,278
Croatia,9,259
Colombia,9,249
Uruguay,9,247
Greece,9,159
Cameroon,8,189
Germany,8,118
Spain,8,109
Belgium,7,203
Japan,7,125
Italy,7,96
Switzerland,7,81
England,7,188
Argentina,6,168
Ghana,6,111
Australia,6,110
Portugal,4,109
Netherlands,4,99
Bosnia and Herzegovina,2,24
